repo,path,number_of_headings
mportizlunyov/update_full-unix,SECURITY.md,0
oracle/oracle-db-appdev-monitoring,SECURITY.md,3
oracle/tribuo,SECURITY.md,3
oracle/tribuo,docs/Security.md,6
oracle/ocifs,SECURITY.md,3
DeveloperCron/MyIntro,SECURITY.md,5
yaleman/renamer,SECURITY.md,3
Codecademy/docs,content/cybersecurity/concepts/security-testing/security-testing.md,1
venom-mancer/OracleMind-discord,SECURITY.md,3
LuaSpace/luaspace,.github/SECURITY.md,3
yaleman/dotfiles,SECURITY.md,3
Normolo/directoryTreeViewer,.github/SECURITY.md,6
oracle/weblogic-kubernetes-operator,documentation/4.0/content/faq/security-validation.md,0
oracle/weblogic-kubernetes-operator,documentation/3.4/content/faq/security-validation.md,0
oracle/weblogic-kubernetes-operator,documentation/3.3/content/faq/security-validation.md,0
oracle/weblogic-toolkit-ui,SECURITY.md,3
M4gOo/System-Administrator-RHCSA-,DONE_Manage%20Security.md,0
EdenCrow/edencrow.github.com,.github/SECURITY.md,3
oracle/magento-extension-cx-apps,SECURITY.md,3
cyh6327/cyh6327.github.io,spring/_posts/2023-02-15-spring-security-application.md,29
cyh6327/cyh6327.github.io,spring/_posts/2023-03-04-spring-security-operating-principle.md,18
cyh6327/cyh6327.github.io,spring/_posts/2023-02-15-spring-security-study.md,36
cyh6327/cyh6327.github.io,project/_posts/2022-02-15-ycc-study-security.md,7
sawft99/Obsidian-SecPlus,Sec%2B/Chapter%204%20-%20Security%20Applications%20%26%20Devices/Security%20Applications%20%26%20Devices.md,5
sawft99/Obsidian-SecPlus,Sec%2B/Chapter%2017%20-%20Physical%20Security/Physical%20Security.md,10
sawft99/Obsidian-SecPlus,Sec%2B/Chapter%2018%20-%20Facilities%20Security/Facilities%20Security.md,4
sawft99/Obsidian-SecPlus,Sec%2B/Chapter%205%20-%20Mobile%20Device%20Security/Security%20of%20Apps.md,11
sawft99/Obsidian-SecPlus,Sec%2B/Chapter%205%20-%20Mobile%20Device%20Security/Mobile%20Device%20Security.md,4
sawft99/Obsidian-SecPlus,Sec%2B/Chapter%2013%20-%20Cloud%20Security/Cloud%20Security.md,11
